exp_id,description,learning_rate,effective_bs,num_epochs,scheduler,warmup_ratio,class_weights,prefix_prompt,dev_loss,dev_accuracy,dev_f1_macro,test_loss,test_accuracy,test_f1_macro,refuted_f1,supported_f1,nei_f1,checkpoint_dir
Exp001_Warmup_Accum2,Thêm Warmup 10% + Gradient Accumulation 2 (Effective BS = 16),2e-05,16,5,linear,0.1,,False,0.7076,0.8133,0.8145,0.5692,0.8341,0.8331,0.7895,0.844,0.8659,./outputs/bamibert/experiments/Exp001_Warmup_Accum2/best_model
Exp002_LowLR_1e5,"Hạ Learning Rate xuống 1e-5 để chống overfit (Warmup 10%, Eff BS=16)",1e-05,16,5,linear,0.1,,False,0.6099,0.787,0.788,0.4909,0.8355,0.834,0.7888,0.8407,0.8726,./outputs/bamibert/experiments/Exp002_LowLR_1e5/best_model
Exp003_HighLR_3e5,"Tăng Learning Rate lên 3e-5 (Warmup 10%, Eff BS=16)",3e-05,16,5,linear,0.1,,False,0.7629,0.8257,0.8272,0.6878,0.8348,0.8343,0.7868,0.8386,0.8774,./outputs/bamibert/experiments/Exp003_HighLR_3e5/best_model
Exp004_ClassWeight_Refuted,Weighted Loss: Phạt nặng 1.3x cho REFUTED (Kéo Recall lớp phủ định),2e-05,16,5,linear,0.1,"[1.0, 1.3, 1.0]",False,0.6542,0.8133,0.8137,0.5942,0.83,0.8283,0.7864,0.833,0.8654,./outputs/bamibert/experiments/Exp004_ClassWeight_Refuted/best_model
Exp005_Cosine_Decay005,Cosine Annealing Scheduler + Weight Decay 0.05 + Epochs=6 (Class Weights),2e-05,16,6,cosine,0.1,"[1.0, 1.3, 1.0]",False,0.639,0.8326,0.8325,0.5992,0.8369,0.8348,0.7895,0.8554,0.8594,./outputs/bamibert/experiments/Exp005_Cosine_Decay005/best_model
Exp006_PrefixPrompt_SOTA,Semantic Prefix Prompting + Best Hyperparameters + Class Weights (Final SOTA),2e-05,16,5,cosine,0.1,"[1.0, 1.3, 1.0]",True,0.6158,0.8105,0.8116,0.505,0.8487,0.8484,0.8162,0.8514,0.8775,./outputs/bamibert/experiments/Exp006_PrefixPrompt_SOTA/best_model
Exp007_Epochs10_EarlyStop,"Mở rộng lên 10 Epochs kèm Early Stopping (Patience = 3, Warmup 10%, Eff BS = 16)",2e-05,16,10,linear,0.1,None,False,1.0954,0.8147,0.8148,0.9921,0.8238,0.821,0.771,0.8382,0.8538,./outputs/bamibert/experiments/Exp007_Epochs10_EarlyStop/best_model
