epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1
1,0.8907072674776854,0.5740813907546425,0.5753574110187327,0.5717115979961148,0.5700350946812962,0.573809763011725,0.7869986168741355,0.7918757628665177,0.7902411998578746,0.7870667409433062
2,0.4528367857357681,0.8427499012248123,0.8424145863625498,0.842377848646415,0.8423320808441034,0.5399212578068608,0.8035961272475796,0.8152690265960212,0.8005350573709231,0.8036854893421598
3,0.29809853914032225,0.9059660213354406,0.906150565411318,0.9057691978048171,0.905928017269782,0.6071904340515966,0.8146611341632088,0.8248197306891365,0.8139660522188733,0.8159409092809624
4,0.19839063884355482,0.9423152903990517,0.9423613922464852,0.9423498364974748,0.9423461972232617,0.660313097719589,0.8271092669432918,0.8282241014799153,0.82851506025019,0.827018594779899
5,0.14286435273849063,0.9632556301856974,0.9634149185900878,0.9631584455274167,0.9632397556802251,0.6906327993568518,0.8326417704011065,0.8325445816186555,0.8342997255507364,0.8328338068899105
