scenario,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,latency_per_sample_ms
A. Gold Evidence (Upper-bound),0.8326417704011065,0.8328338068899105,0.8325445816186555,0.8342997255507364,0.8324462752908112,21.629731849680965
B. BM25 Top-1 (Keyword),0.5933609958506224,0.5852949391399623,0.6251856251856251,0.601466301091671,0.5833335706731962,20.414154889013098
C. Fact-aware Reranked Top-1,0.5905947441217151,0.5823059193289425,0.6227054247186146,0.5987980975397584,0.5802735556506333,20.306671968304435
D. Đề xuất: Sliding Window (±1),0.6293222683264177,0.6275200410768009,0.6330070603337613,0.6269709768372173,0.6288848114702575,20.674123144083826
E. Đề xuất: Top-2 Concatenated,0.6417704011065007,0.6404524284763805,0.649844428415857,0.6395873918743414,0.6412182550528266,20.86323095720009
